source;target;layer
818850;1488310;collab
134086;2624870;collab
1123088;413409;collab
1831234;40419563;collab
3316959;27742;collab
140972;136332;collab
3505221;257916;collab
1034757;561063;collab
3365457;3365365;collab
110282;1990966;collab
633471;2389295;collab
994018;2708499;collab
3607216;3549929;collab
43950532;1206464;collab
689120;9194024;collab
3460044;300644;collab
3641050;2295139;collab
483299;50677792;collab
37126291;6923352;collab
96914;601959;collab
2097593;370792;collab
9432059;524131;collab
53698073;936378;collab
60337;5201914;collab
560420;1976936;collab
3579401;2343768;collab
3365296;3365457;collab
1417835;494965;collab
52858667;781239;collab
232583;1819604;collab
1053557;10832690;collab
155625;601959;collab
1520745;811813;collab
676309;300979;collab
300979;1236596;collab
1710746;485160;collab
911102;26112;collab
1554243;3350496;collab
974947;1343887;collab
508274;1079366;collab
2313275;6923352;collab
218840;699977;collab
3322859;1542517;collab
332741;59042;collab
53164380;1291393;collab
3549954;1780247;collab
1765874;955657;collab
3635892;1399202;collab
1053557;332741;collab
2530441;237904;collab
10902020;2539048;collab
58809;651228;collab
724810;424118;collab
1512881;1402107;collab
1995279;3317401;collab
482936;372568;collab
3546571;1456480;collab
892920;60393;collab
1151530;2624870;collab
4328932;549565;collab
53591624;2689917;collab
18486917;2976916;collab
53607159;2338139;collab
966585;2769047;collab
3010168;2461724;collab
537351;192481;collab
3629694;1765874;collab
137638;2437370;collab
1333303;6923352;collab
566838;3399414;collab
1995279;494965;collab
48413726;676309;collab
1125091;50035257;collab
3238176;2295139;collab
3618381;840008;collab
2309290;803566;collab
3365228;2245140;collab
3608252;3571615;collab
52776723;26112;collab
23435228;194289;collab
3313779;1633442;collab
691155;7817503;collab
426596;84674;collab
1453614;2677845;collab
3317401;628230;collab
4040114;2539048;collab
3365456;215222;collab
3317593;22939480;collab
967515;616265;collab
2229939;23483938;collab
1911914;3322859;collab
34063130;16649;collab
3607548;1200530;collab
433468;1219483;collab
929601;431388;collab
791134;2320964;collab
3577492;20544;collab
7521;1208922;collab
3635892;47471283;collab
3407351;2298592;collab
6090;867923;collab
1631408;689320;collab
274501;2677845;collab
573577;26112;collab
1054280;2164557;collab
721365;431325;collab
3550793;60393;collab
3315344;494965;collab
53786510;601959;collab
3450212;974947;collab
1156820;2343319;collab
3549917;17927374;collab
2539048;7521;collab
1123088;553305;collab
3315271;10497604;collab
53591624;220129;collab
2530441;1402107;collab
17876629;755515;collab
1138939;1628808;collab
601959;1765874;collab
2613090;1628664;collab
1176515;21997;collab
3545991;3439731;collab
10878479;169566;collab
385681;145518;collab
819325;403822;collab
3499022;3549946;collab
918989;1537631;collab
1402107;3317730;collab
10879335;998208;collab
1147403;1628808;collab
140972;1116660;collab
756948;53607159;collab
10879335;3571616;collab
2335802;561596;collab
795368;70423;collab
714492;1399202;collab
3832289;3317730;collab
442978;1096084;collab
563443;1794430;collab
10223118;3823274;collab
564148;1794970;collab
3318255;616265;collab
1500881;266758;collab
1399202;1236476;collab
299484;1111513;collab
49800324;47382659;collab
364422;494965;collab
616265;370814;collab
553305;51172817;collab
9126447;1127180;collab
1512881;1417835;collab
1123088;1730113;collab
2769047;2126906;collab
524350;851440;collab
306815;1695628;collab
53635770;17902638;collab
47271543;53067561;collab
55046195;193776;collab
3454748;40422592;collab
3505220;483299;collab
676309;390956;collab
1573733;3619806;collab
58809;50412641;collab
1485158;1091668;collab
1079933;1117178;collab
515094;7649061;collab
403149;1185759;collab
18046451;1710746;collab
3310252;21997;collab
740002;2181032;collab
40419564;50412641;collab
976195;2975450;collab
646498;53786510;collab
40422592;53504518;collab
47330938;3349395;collab
10219425;431388;collab
3010168;1827172;collab
3642208;18461058;collab
2034264;994018;collab
1314839;1818317;collab
1995279;52197781;collab
795368;1065668;collab
879548;229417;collab
3017784;2514394;collab
3484675;282750;collab
652039;315058;collab
1406793;1200530;collab
1456480;18960884;collab
47608197;781239;collab
29157558;494965;collab
53650693;49939857;collab
3983755;441490;collab
22368396;12518928;collab
84734;6822508;collab
1740723;3365270;collab
2009069;1399202;collab
1123088;2456426;collab
666211;78072;collab
2241634;84734;collab
384014;3832274;collab
43396392;53450727;collab
3629736;954490;collab
1397937;1990966;collab
1915999;134086;collab
1095043;2720594;collab
34117378;257916;collab
256291;1200530;collab
3374958;1206464;collab
2320964;448985;collab
1995279;2229939;collab
5774643;42198548;collab
53554938;403822;collab
1311639;810133;collab
936923;284269;collab
67458;3365431;collab
991693;393752;collab
3615135;18206946;collab
3643460;502782;collab
966585;1291393;collab
56098059;6923352;collab
1819604;3629706;collab
1644999;1368326;collab
3449684;49614014;collab
12716274;1370132;collab
994018;438262;collab
1940208;954490;collab
2078186;3070257;collab
3841503;3639437;collab
53933045;47666558;collab
110282;1054090;collab
299484;3450212;collab
3369632;2073858;collab
12687154;10832690;collab
441589;1792373;collab
3549932;42241901;collab
794527;571081;collab
47382659;54476401;collab
18461058;103922;collab
2295139;3321418;collab
442978;1695628;collab
40422583;1991506;collab
1548597;1688876;collab
23483938;1417835;collab
738673;92804;collab
1493033;2343768;collab
501775;1598769;collab
1807506;3315271;collab
3832279;3520741;collab
436647;1769228;collab
755515;441490;collab
332741;1148867;collab
524350;40422587;collab
2282500;2167811;collab
332741;49740233;collab
16649;2343319;collab
53761504;17902638;collab
256291;53786510;collab
1818317;3577492;collab
3832269;2798309;collab
145518;1276964;collab
3859512;9253;collab
92804;579503;collab
819325;169069;collab
772610;463577;collab
1819426;384014;collab
47593436;1108299;collab
583330;379416;collab
852431;1628808;collab
634165;1461050;collab
3317401;50412641;collab
49939857;53650693;collab
373254;42138;collab
2298592;436647;collab
3462423;2164557;collab
181077;954490;collab
1807506;1269985;collab
740002;3530351;collab
503438;592315;collab
9424424;2262242;collab
1000284;1902888;collab
1633442;1219483;collab
10832690;1356259;collab
3439731;3629706;collab
1094428;1417835;collab
53635770;3317401;collab
498071;2181032;collab
1520745;616265;collab
10517575;1521045;collab
20544;1058778;collab
282750;3832274;collab
2340538;1123088;collab
585496;403822;collab
10707577;1536874;collab
2456978;616265;collab
1925409;795368;collab
3499022;688801;collab
520332;2616261;collab
5201914;18487991;collab
353523;286931;collab
2539048;3549915;collab
53933045;1990966;collab
630735;244466;collab
57153;21818626;collab
4040114;3635891;collab
2314808;1536874;collab
795368;413263;collab
181077;1017214;collab
