source;target;layer;year
818850;1488310;collab;2008
134086;2624870;collab;2008
1123088;413409;collab;2007
1831234;40419563;collab;2003
3316959;27742;collab;2007
140972;136332;collab;1997
3505221;257916;collab;2005
1034757;561063;collab;1989
3365457;3365365;collab;2001
110282;1990966;collab;2002
633471;2389295;collab;2005
994018;2708499;collab;1985
3607216;3549929;collab;2010
43950532;1206464;collab;2003
689120;9194024;collab;2005
3460044;300644;collab;2004
3641050;2295139;collab;2009
483299;50677792;collab;1984
37126291;6923352;collab;2007
96914;601959;collab;2000
2097593;370792;collab;2008
9432059;524131;collab;2010
53698073;936378;collab;2010
60337;5201914;collab;2010
560420;1976936;collab;2007
3579401;2343768;collab;2007
3365296;3365457;collab;2003
1417835;494965;collab;2008
52858667;781239;collab;2007
232583;1819604;collab;2010
1053557;10832690;collab;2004
155625;601959;collab;2003
1520745;811813;collab;2010
676309;300979;collab;2010
300979;1236596;collab;2011
1710746;485160;collab;2007
911102;26112;collab;2009
1554243;3350496;collab;2007
974947;1343887;collab;1999
508274;1079366;collab;1997
2313275;6923352;collab;2010
218840;699977;collab;1999
3322859;1542517;collab;2007
332741;59042;collab;2000
53164380;1291393;collab;2000
3549954;1780247;collab;2007
1765874;955657;collab;1998
3635892;1399202;collab;2010
1053557;332741;collab;2002
2530441;237904;collab;2008
10902020;2539048;collab;2011
58809;651228;collab;2010
724810;424118;collab;2008
1512881;1402107;collab;2005
1995279;3317401;collab;2002
482936;372568;collab;2000
3546571;1456480;collab;2010
892920;60393;collab;2007
1151530;2624870;collab;2010
4328932;549565;collab;2011
53591624;2689917;collab;2010
18486917;2976916;collab;2011
53607159;2338139;collab;1996
966585;2769047;collab;2009
3010168;2461724;collab;2000
537351;192481;collab;2010
3629694;1765874;collab;2008
137638;2437370;collab;2010
1333303;6923352;collab;2009
566838;3399414;collab;2011
1995279;494965;collab;2008
48413726;676309;collab;2011
1125091;50035257;collab;2009
3238176;2295139;collab;2009
3618381;840008;collab;2010
2309290;803566;collab;2010
3365228;2245140;collab;2000
3608252;3571615;collab;2010
52776723;26112;collab;2001
23435228;194289;collab;2011
3313779;1633442;collab;2007
691155;7817503;collab;1995
426596;84674;collab;2003
1453614;2677845;collab;1996
3317401;628230;collab;2002
4040114;2539048;collab;2010
3365456;215222;collab;2001
3317593;22939480;collab;2011
967515;616265;collab;2004
