source;target;layer;timestamp
ada_marra;votrevoix;follows;2011-01-13
ada_marra;PaulRechsteiner;follows;2013-06-04
ada_marra;RolandFischerNR;follows;2015-06-16
ada_marra;claufriedl;follows;2014-09-11
ada_marra;mariabernascon2;follows;2014-01-20
ada_marra;d_stolz;follows;2014-03-28
ada_marra;B_Haeberli;follows;2013-02-18
ada_marra;I_Chevalley;follows;2011-02-21
ada_marra;MartinaMunz;follows;2012-07-24
ada_marra;BernhardGuhl;follows;2012-12-24
ada_marra;th_hardegger;follows;2012-08-28
ada_marra;kathrinbertschy;follows;2013-12-16
ada_marra;uschneiderschue;follows;2012-09-18
ada_marra;ignaziocassis;follows;2014-08-09
ada_marra;adelethorens;follows;2011-12-16
ada_marra;RobertCramer_GE;follows;2014-03-15
ada_marra;IsabelleMoret;follows;2011-02-09
ada_marra;BaGysi;follows;2015-03-09
ada_marra;SchmidFederer;follows;2015-01-15
ada_marra;ChantalGallade;follows;2015-02-07
ada_marra;lukasreimann;follows;2015-03-26
ada_marra;DdeBuman;follows;2011-04-25
ada_marra;beatflach;follows;2015-08-08
ada_marra;KathyRiklin;follows;2014-05-12
ada_marra;yferi;follows;2011-01-13
ada_marra;M_Aebischer;follows;2013-01-17
ada_marra;alinetrede;follows;2015-08-17
ada_marra;BarazzoneG;follows;2015-07-23
ada_marra;jacquelinefehr;follows;2014-01-20
ada_marra;SteRossini63;follows;2011-02-15
ada_marra;CeslaAmarelle;follows;2014-02-05
ada_marra;SusanneSlo;follows;2011-11-23
ada_marra;ManuelTornare;follows;2013-09-26
ada_marra;fderder;follows;2011-08-07
ada_marra;ahodgers;follows;2011-02-17
ada_marra;steiertjf;follows;2014-02-24
ada_marra;nmasshardt;follows;2012-04-27
ada_marra;MullerAltermatt;follows;2012-09-10
ada_marra;ChristaMarkwald;follows;2013-12-14
ada_marra;MarcoRomanoPPD;follows;2015-07-09
ada_marra;MaireJack;follows;2011-12-12
ada_marra;ybuttet;follows;2011-03-26
ada_marra;bglaettli;follows;2015-05-27
ada_marra;SchenkerSilvia;follows;2013-09-06
ada_marra;cwasi;follows;2012-07-21
ada_marra;PierreRusconi;follows;2015-10-01
ada_marra;reb_ruiz;follows;2011-12-19
ada_marra;eviallemann;follows;2014-06-04
ada_marra;cedricwermuth;follows;2012-08-09
ada_marra;MarinaCarobbio;follows;2012-01-05
ada_marra;Valerie_Piller;follows;2011-06-07
ada_marra;MathiasReynard;follows;2014-12-04
ada_marra;ChristianLevrat;follows;2015-11-05
ada_marra;NordmannRoger;follows;2011-09-09
ada_marra;CarloSommaruga;follows;2011-05-07
ada_marra;jcschwaab;follows;2015-11-17
ada_marra;hhiltpold;follows;2015-01-15
ada_marra;MullerAltermatt;favorites;2015-09-04
ada_marra;enussbi;favorites;2015-09-03
ada_marra;NordmannRoger;retweets;2015-09-01
ada_marra;MathiasReynard;favorites;2015-08-28
ada_marra;reb_ruiz;favorites;2015-08-28
ada_marra;reb_ruiz;favorites;2015-08-27
ada_marra;reb_ruiz;favorites;2015-08-27
ada_marra;jcschwaab;favorites;2015-07-30
ada_marra;NeirynckJ;favorites;2015-07-30
ada_marra;OskarFreysinger;favorites;2015-07-30
ada_marra;ybuttet;favorites;2015-07-30
ada_marra;jcschwaab;favorites;2015-07-28
ada_marra;NeirynckJ;favorites;2015-07-28
ada_marra;jcschwaab;retweets;2015-07-25
ada_marra;ada_marra;favorites;2015-07-05
ada_marra;cedricwermuth;retweets;2015-07-02
ada_marra;ada_marra;favorites;2015-06-30
ada_marra;MathiasReynard;favorites;2015-06-29
ada_marra;cedricwermuth;favorites;2015-06-29
ada_marra;jcschwaab;favorites;2015-06-29
ada_marra;CarloSommaruga;favorites;2015-06-29
ada_marra;cedricwermuth;retweets;2015-06-29
ada_marra;MathiasReynard;favorites;2015-06-29
ada_marra;jcschwaab;favorites;2015-06-29
ada_marra;CarloSommaruga;favorites;2015-06-29
ada_marra;ada_marra;favorites;2015-06-29
ada_marra;cedricwermuth;favorites;2015-06-29
ada_marra;MathiasReynard;favorites;2015-06-29
ada_marra;jcschwaab;favorites;2015-06-29
ada_marra;CarloSommaruga;favorites;2015-06-29
ada_marra;ada_marra;favorites;2015-06-23
ada_marra;C_Darbellay;favorites;2015-06-11
ada_marra;jcschwaab;retweets;2015-06-11
ada_marra;C_Darbellay;retweets;2015-06-09
ada_marra;jcschwaab;favorites;2015-05-22
ada_marra;jcschwaab;favorites;2015-05-22
ada_marra;jcschwaab;retweets;2015-05-22
ada_marra;jcschwaab;retweets;2015-05-22
ada_marra;jcschwaab;favorites;2015-05-20
ada_marra;jcschwaab;favorites;2015-05-20
ada_marra;NordmannRoger;favorites;2015-05-20
ada_marra;NordmannRoger;favorites;2015-05-20
ada_marra;C_Darbellay;favorites;2015-05-18
ada_marra;C_Darbellay;favorites;2015-05-18
ada_marra;C_Darbellay;favorites;2015-05-18
ada_marra;jcschwaab;retweets;2015-04-26
ada_marra;SusanneSlo;retweets;2015-04-23
ada_marra;jcschwaab;retweets;2015-04-14
ada_marra;LandoltMartin;favorites;2015-04-09
ada_marra;ChristianLevrat;retweets;2015-03-27
ada_marra;YvonneGilli;favorites;2015-03-21
ada_marra;ada_marra;favorites;2015-03-12
ada_marra;SchmidFederer;retweets;2015-03-06
ada_marra;ada_marra;favorites;2015-01-25
ada_marra;ada_marra;favorites;2015-01-21
ada_marra;ada_marra;favorites;2015-01-21
ada_marra;ada_marra;favorites;2015-01-14
ada_marra;NordmannRoger;favorites;2015-01-11
ada_marra;NordmannRoger;favorites;2015-01-11
ada_marra;NordmannRoger;favorites;2015-01-11
ada_marra;ChristianLevrat;favorites;2015-01-06
ada_marra;kathrinbertschy;favorites;2014-12-11
ada_marra;RuediNoser;favorites;2014-12-08
ada_marra;NordmannRoger;retweets;2014-12-08
ada_marra;ada_marra;favorites;2014-11-13
ada_marra;NordmannRoger;favorites;2014-11-10
ada_marra;ada_marra;favorites;2014-11-10
ada_marra;NordmannRoger;favorites;2014-11-10
ada_marra;ada_marra;favorites;2014-10-31
ada_marra;ManuelTornare;favorites;2014-10-19
ada_marra;IsabelleMoret;favorites;2014-10-18
ada_marra;IsabelleMoret;favorites;2014-10-18
ada_marra;NordmannRoger;favorites;2014-09-26
ada_marra;NordmannRoger;retweets;2014-09-26
ada_marra;SteRossini63;retweets;2014-09-23
ada_marra;MarcoRomanoPPD;favorites;2014-09-23
ada_marra;Valerie_Piller;retweets;2014-09-16
ada_marra;SteRossini63;favorites;2014-08-22
ada_marra;SteRossini63;retweets;2014-08-21
ada_marra;ada_marra;favorites;2014-08-01
ada_marra;ManuelTornare;favorites;2014-07-03
ada_marra;MarinaCarobbio;retweets;2014-05-01
ada_marra;ada_marra;favorites;2014-04-19
ada_marra;ada_marra;favorites;2014-04-19
ada_marra;bglaettli;retweets;2014-04-19
ada_marra;jcschwaab;retweets;2014-04-11
ada_marra;jacquelinefehr;retweets;2014-04-11
ada_marra;ChristianLevrat;favorites;2014-04-05
ada_marra;MathiasReynard;favorites;2014-03-30
ada_marra;MathiasReynard;favorites;2014-03-30
ada_marra;ybuttet;favorites;2014-03-20
ada_marra;MathiasReynard;retweets;2014-03-19
ada_marra;ada_marra;favorites;2014-03-13
ada_marra;MathiasReynard;retweets;2014-03-12
ada_marra;CarloSommaruga;favorites;2014-03-01
ada_marra;ada_marra;favorites;2014-02-28
ada_marra;ada_marra;favorites;2014-02-20
ada_marra;ada_marra;favorites;2014-02-18
ada_marra;CeslaAmarelle;retweets;2014-02-18
ada_marra;MathiasReynard;favorites;2014-02-11
ada_marra;MathiasReynard;favorites;2014-02-11
ada_marra;PierreRusconi;favorites;2014-02-10
ada_marra;PierreRusconi;favorites;2014-02-10
ada_marra;NordmannRoger;favorites;2014-02-01
ada_marra;ada_marra;favorites;2014-01-16
ada_marra;ada_marra;favorites;2014-01-07
ada_marra;SteRossini63;favorites;2014-01-07
ada_marra;ada_marra;favorites;2013-12-20
ada_marra;jcschwaab;retweets;2013-12-11
ada_marra;ManuelTornare;retweets;2013-12-11
ada_marra;AndreaCaroniAR;favorites;2013-12-05
ada_marra;ada_marra;favorites;2013-12-03
ada_marra;NordmannRoger;favorites;2013-11-30
ada_marra;NordmannRoger;retweets;2013-11-30
ada_marra;ChristaMarkwald;favorites;2013-11-15
ada_marra;cwasi;favorites;2013-11-15
ada_marra;AndreaCaroniAR;favorites;2013-11-15
ada_marra;MathiasReynard;favorites;2013-11-15
ada_marra;ChristaMarkwald;favorites;2013-11-15
ada_marra;cwasi;favorites;2013-11-15
ada_marra;AndreaCaroniAR;favorites;2013-11-15
ada_marra;MathiasReynard;favorites;2013-11-15
ada_marra;fderder;favorites;2013-11-08
ada_marra;ybuttet;favorites;2013-10-29
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;ybuttet;favorites;2013-10-27
ada_marra;SusanneSlo;retweets;2013-10-25
ada_marra;jcschwaab;retweets;2013-09-26
ada_marra;cedricwermuth;retweets;2013-09-26
ada_marra;jcschwaab;favorites;2013-09-25
ada_marra;CeslaAmarelle;retweets;2013-09-23
ada_marra;NordmannRoger;retweets;2013-03-22
ada_marra;ada_marra;favorites;2013-03-22
ada_marra;NordmannRoger;retweets;2013-02-22
ada_marra;ada_marra;favorites;2013-02-22
ada_marra;ada_marra;favorites;2012-10-18
ada_marra;ada_marra;favorites;2012-10-18
ada_marra;fderder;favorites;2012-10-12
adelethorens;KathyRiklin;follows;2011-03-16
adelethorens;ignaziocassis;follows;2012-03-18
adelethorens;reb_ruiz;follows;2012-06-30
adelethorens;ChristaMarkwald;follows;2014-07-20
