"id";"prop";"gender";"chamber";"scale"
bastiengirod;GPS;M;NR;0.5
bglaettli;GPS;M;NR;0.5
cedricwermuth;SPS;M;NR;0.5
lukasreimann;SVP;M;NR;0.5
FelixGutzwiller;FDP;M;SR;0.5
hhiltpold;FDP;M;NR;0.5
ChristianLevrat;SPS;M;SR;0.5
SchmidFederer;CVP-EVP;W;NR;0.5
JayBadran;SPS;W;NR;0.5
MarcoRomanoPPD;CVP-EVP;M;NR;0.5
cwasi;FDP;M;NR;0.5
SVPBrunner;SVP;M;NR;0.5
beaheim;SPS;W;NR;0.5
Violapamherd;CVP-EVP;W;NR;0.5
zanettiroberto;SPS;M;SR;0.5
KathyRiklin;CVP-EVP;W;NR;0.5
YvonneGilli;GPS;W;NR;0.5
HPPortmann;FDP;M;NR;0.5
BernhardGuhl;BDP;M;NR;0.5
ahodgers;X;X;X;0.5
beatflach;GLP;M;NR;0.5
NeirynckJ;CVP-EVP;M;NR;0.5
I_Chevalley;GLP;W;NR;0.5
IsabelleMoret;FDP;W;NR;0.5
CarloSommaruga;SPS;M;NR;0.5
BARTHASSAT;X;X;X;0.5
Schilliger;FDP;M;NR;0.5
jacquelinefehr;SPS;W;NR;0.5
NatalieRickli;SVP;W;NR;0.5
PirminBischof;CVP-EVP;M;SR;0.5
steiertjf;SPS;M;NR;0.5
B_Haeberli;CVP-EVP;W;SR;0.5
C_Darbellay;CVP-EVP;M;NR;0.5
eviallemann;SPS;W;NR;0.5
GTheiler;FDP;M;SR;0.5
ChristaMarkwald;FDP;W;NR;0.5
yferi;SPS;W;NR;0.5
PascaleBruderer;SPS;W;SR;0.5
jcschwaab;SPS;M;NR;0.5
fteuscher;X;X;X;0.5
EdithGraf;SPS;W;NR;0.5
PolitNews2;X;X;X;0.5
Elisabeth_S_S;CVP-EVP;W;NR;0.5
alinetrede;GPS;W;NR;0.5
ignaziocassis;FDP;M;NR;0.5
ybuttet;CVP-EVP;M;NR;0.5
berberatdidier;SPS;M;SR;0.5
thegreenpreside;GPS;M;NR;0.5
BarazzoneG;CVP-EVP;M;NR;0.5
M_Aebischer;SPS;M;NR;0.5
GrinJean;SVP;M;NR;0.5
SchenkerSilvia;SPS;W;NR;0.5
RuediNoser;FDP;M;NR;0.5
F_Leutenegger;X;X;X;0.5
JR_Fournier;CVP-EVP;M;SR;0.5
LorenzQuadri;SVP;M;NR;0.5
Ch_Lohr;CVP-EVP;M;NR;0.5
SusanneSlo;SPS;W;NR;0.5
RobiPanta;SVP;W;NR;0.5
LuziStamm;SVP;M;NR;0.5
AmarelleCesla;X;X;X;0.5
PetraGoessi;FDP;W;NR;0.5
votrevoix;SPS;W;SR;0.5
thomasdecourten;SVP;M;NR;0.5
MathiasReynard;SPS;M;NR;0.5
AndreaCaroniAR;FDP;M;NR;0.5
idamicha;CVP-EVP;W;NR;0.5
MullerAltermatt;CVP-EVP;M;NR;0.5
Juerg_Grossen;GLP;M;NR;0.5
PierreRusconi;SVP;M;NR;0.5
fun31;SPS;M;NR;0.5
ManuelTornare;SPS;M;NR;0.5
ChrMoergeli;SVP;M;NR;0.5
CeslaAmarelle;SPS;W;NR;0.5
PaulRechsteiner;SPS;M;SR;0.5
UGiezendanner;SVP;M;NR;0.5
RolandFischerNR;GLP;M;NR;0.5
ada_marra;SPS;W;NR;0.5
GraberKonrad;CVP-EVP;M;SR;0.5
fderder;FDP;M;NR;0.5
Valerie_Piller;SPS;W;NR;0.5
DdeBuman;CVP-EVP;M;NR;0.5
LandoltMartin;BDP;M;NR;0.5
NordmannRoger;SPS;M;NR;0.5
MartinaMunz;SPS;W;NR;0.5
lombardi1956;CVP-EVP;M;SR;0.5
MaireJack;SPS;M;NR;0.5
MarinaCarobbio;SPS;W;NR;0.5
d_stolz;FDP;M;NR;0.5
reb_ruiz;SPS;W;NR;0.5
fregazzi;CVP-EVP;M;NR;0.5
Yvette67Yvette;SVP;W;NR;0.5
enussbi;SPS;M;NR;0.5
HurterThomas;SVP;M;NR;0.5
tschmperlin;SPS;M;NR;0.5
ClaudeJaniak;SPS;M;SR;0.5
nmasshardt;SPS;W;NR;0.5
OskarFreysinger;SVP;M;NR;0.5
DanielVischerNR;GPS;M;NR;0.5
verenaherzog;SVP;W;NR;0.5
BulliardMarbach;CVP-EVP;W;NR;0.5
RegulaRytz;GPS;W;NR;0.5
LorenzHess;BDP;M;NR;0.5
JP_Graber;SVP;M;NR;0.5
jfrime;SVP;M;NR;0.5
SteRossini63;SPS;M;NR;0.5
MarianneStreiff;CVP-EVP;W;NR;0.5
MajaIngold;CVP-EVP;W;NR;0.5
AdrianAmstutz;SVP;M;NR;0.5
Werner_Hoesli;SVP;M;SR;0.5
CandinasMartin;CVP-EVP;M;NR;0.5
AlfredHeer;SVP;M;NR;0.5
RobertCramer_GE;GPS;M;SR;0.5
BaGysi;SPS;W;NR;0.5
ChantalGallade;SPS;W;NR;0.5
claufriedl;SPS;W;NR;0.5
MarkusHutter;X;X;X;0.5
mariabernascon2;SPS;W;NR;0.5
RuthHumbel;CVP-EVP;W;NR;0.5
adelethorens;GPS;W;NR;0.5
uschneiderschue;SPS;W;NR;0.5
kathrinbertschy;GLP;W;NR;0.5
th_hardegger;SPS;W;NR;0.5
maximilian_rei;SVP;M;NR;0.5
DorisFiala;FDP;W;NR;0.5
engler_stefan;CVP-EVP;M;SR;0.5
gerhardpfister;CVP-EVP;M;NR;0.5
