"ori_node";"des_node";"ori_layer"
325;31793;1
338;36564;1
348;46689;1
601;44530;1
601;44678;1
640;63374;1
640;154822;1
640;159082;1
640;172285;1
640;195512;1
640;223150;1
640;254019;1
647;3360;1
647;10034;1
647;17220;1
647;25782;1
647;169504;1
647;213318;1
647;236882;1
1317;206589;1
1435;136004;1
2068;10116;1
2068;65590;1
2097;43789;1
2097;46521;1
2400;2400;1
2400;47257;1
2676;14575;1
3360;647;1
3360;17220;1
3360;25782;1
3886;50588;1
3891;7033;1
4014;18035;1
4014;45305;1
4014;213318;1
4026;26110;1
4802;16172;1
4936;35982;1
4936;196305;1
5856;5856;1
5868;12105;1
6490;35738;1
6626;6626;1
6626;16735;1
7033;3891;1
7082;22455;1
7082;35446;1
7261;7269;1
7261;37413;1
7261;40100;1
7262;21667;1
7269;7261;1
7269;169318;1
7351;25717;1
7550;7550;1
7550;20402;1
7550;31423;1
8515;12836;1
9907;13210;1
9907;18173;1
10034;647;1
10034;10034;1
10116;2068;1
10568;13816;1
10568;38692;1
10976;35510;1
11816;30088;1
11816;77734;1
11816;89571;1
11816;145871;1
11816;191906;1
11944;11944;1
12105;5868;1
12417;12417;1
12417;195774;1
12419;39848;1
12836;8515;1
12958;45549;1
12958;50703;1
13210;9907;1
13210;18173;1
13210;22887;1
13745;2676;1
13745;35082;1
13745;35743;1
13816;10568;1
14552;25714;1
14575;2676;1
14575;35743;1
14594;173306;1
14676;15801;1
15801;14676;1
16172;4802;1
16261;46539;1
16552;31793;1
16691;149855;1
16691;220428;1
16735;6626;1
16735;16735;1
17051;46758;1
17220;647;1
17220;3360;1
17220;236882;1
17353;32521;1
17863;247765;1
18035;4014;1
18086;173306;1
18131;29884;1
18173;9907;1
18173;13210;1
19330;43789;1
19330;131381;1
19700;19700;1
19700;20398;1
19705;49282;1
20070;20070;1
20398;19700;1
20398;20398;1
20398;20404;1
20402;7550;1
20402;40101;1
20404;20398;1
20404;31423;1
20404;35833;1
21179;145653;1
21180;48348;1
21667;7262;1
22296;74309;1
22455;7082;1
22455;35446;1
22552;45964;1
22564;65725;1
22887;13210;1
24326;44675;1
25714;14552;1
25714;65725;1
25717;7351;1
25717;35082;1
25717;35743;1
25717;69428;1
25782;647;1
25782;3360;1
26110;4026;1
26125;45031;1
27197;35743;1
27197;41825;1
27197;69428;1
27960;27960;1
27960;31714;1
27996;184939;1
27996;203551;1
28819;28819;1
28819;40792;1
29884;18131;1
30088;11816;1
30866;65590;1
31423;7550;1
31423;20404;1
31423;35833;1
31714;27960;1
31714;31714;1
31793;325;1
31793;16552;1
31793;35510;1
32521;17353;1
32526;93405;1
33547;47257;1
34497;100497;1
34497;102766;1
34514;36391;1
34760;152298;1
35082;13745;1
35082;25717;1
35082;35743;1
35082;36665;1
35082;42918;1
35446;7082;1
35446;22455;1
35510;10976;1
35510;31793;1
35738;6490;1
35738;35738;1
35743;13745;1
35743;14575;1
35743;51076;1
35743;93787;1
35833;20404;1
35833;31423;1
35982;4936;1
35982;196305;1
36391;34514;1
36564;338;1
36665;35082;1
36665;36665;1
36665;42918;1
36665;47420;1
36665;112357;1
36665;171912;1
37413;7261;1
38692;10568;1
39848;12419;1
40094;173306;1
40100;7261;1
40101;20402;1
40792;28819;1
41825;27197;1
41825;131381;1
42918;35082;1
42918;36665;1
43789;2097;1
43789;19330;1
44530;601;1
44530;44678;1
44675;24326;1
44678;601;1
44678;44530;1
45031;26125;1
45305;4014;1
45305;49692;1
45508;89554;1
45508;171049;1
45549;12958;1
45549;50703;1
45964;22552;1
46521;2097;1
46539;16261;1
46539;145870;1
46539;210725;1
46632;220429;1
46689;348;1
46758;17051;1
46973;47030;1
47030;46973;1
47257;2400;1
47257;33547;1
47257;47788;1
47420;112357;1
47420;171912;1
47788;47257;1
48348;21180;1
49282;19705;1
49692;45305;1
50305;50305;1
50588;3886;1
50703;12958;1
50703;45549;1
51076;13745;1
51076;25717;1
51076;35082;1
52068;212228;1
63289;96301;1
63374;640;1
65590;2068;1
65590;30866;1
65725;22564;1
65725;25714;1
69428;27197;1
69428;171912;1
74309;22296;1
77734;11816;1
77734;113051;1
77734;145871;1
89554;45508;1
89571;11816;1
93405;32526;1
93405;209749;1
93787;25717;1
96301;63289;1
100497;34497;1
100497;102766;1
100497;240986;1
102766;34497;1
102766;100497;1
